,"name_of_satellite,_alternate_names",current_official_name_of_satellite,country/org_of_un_registry,country_of_operator/owner,operator/owner,users,purpose,detailed_purpose,class_of_orbit,type_of_orbit,longitude_of_geo_(degrees),perigee_(km),apogee_(km),eccentricity,inclination_(degrees),period_(minutes),launch_mass_(kg_),dry_mass_(kg_),power_(watts),date_of_launch,expected_lifetime_(yrs_),contractor,country_of_contractor,launch_site,launch_vehicle,cospar_number,norad_number,comments,source_used_for_orbital_data,source
1111,Hispasat 36W-1 (Hispasat AG1),Hispasat 36W-1,Spain,Spain,Hispasat,Commercial,Communications,[],GEO,,36.9,35783.0,35791.0,9.48834120074958,0.0,1436.1,3220.0,1700.0,6000.0,2017-01-28 00:00:00,15.0,OHB System-AG,Germany,Guiana Space Center,Soyuz,2017-006A,41942,First GEO satellite built in Germany in 20 years.,JMGeo9_17,https://spaceflightnow.com/2017/01/28/soyuz-rocket-provides-sendoff-for-international-telecom-satellite/  http://prehled-druzic.blogspot.com/2017/01/2017-006.html
1116,Hodoyoshi-3,Hodoyoshi-3,Japan,Japan,University of Tokyo and NESTRA,Government,Technology Development,[],LEO,Sun-Synchronous,0.0,613.0,666.0,0.0037805834938298,97.98,97.51,60.0,,50.0,2014-06-19 00:00:00,,University of Tokyo,Japan,Dombarovsky Air Base,Dnepr,2014-033F,40015,"['Accelerate the technology development and practical utilization of micro', 'nano-satellites.']",ZARYA,http://www.technology.org/2014/08/06/micro-satellites-hodoyoshi-3-4-start-capturing-earth-images/  http://www.t.u-tokyo.ac.jp/etpage/release/2014/2014061701.html
1117,Hodoyoshi-4,Hodoyoshi-4,Japan,Japan,University of Tokyo and NESTRA,Government,Technology Development,[],LEO,Sun-Synchronous,0.0,613.0,650.0,0.0026422909376562,97.99,97.35,60.0,,50.0,2014-06-19 00:00:00,,University of Tokyo,Japan,Dombarovsky Air Base,Dnepr,2014-033B,40011,[],ZARYA,http://www.technology.org/2014/08/06/micro-satellites-hodoyoshi-3-4-start-capturing-earth-images/  http://www.t.u-tokyo.ac.jp/etpage/release/2014/2014061701.html
1124,Horizons 2,Horizons 2,USA,"['Japan', 'USA']","Horizons 2 Satellite, LLC (Intelsat, Sky Perfect JSAT Corporation)",Commercial,Communications,[],GEO,,85.0,35777.0,35796.0,0.0002253507762741,0.0,1436.1,2300.0,,4700.0,2007-12-21 00:00:00,15.0,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5,2007-063B,32388,"Joint venture between Intelsat and JSAT; 20 Ku-band transponders, services to the US, Canada and Japan.","['12_08', 'JM']",http://www.orbital.com/NewsInfo/Publications/Horizons2_fact.pdf  http://www.lib.cas.cz/space.40/2007/063B.HTM http://www.businesswire.com/news/home/20111108005912/en/Intelsat-Reports-Quarter-2011-Results
1132,"Hubble Space Telescope (HST, Space Telescope)",Hubble Space Telescope,USA,ESA,"['European Space Agency (ESA)', 'NASA']",Government,Space Science,[],LEO,Non-Polar Inclined,0.0,555.0,559.0,0.000288725277898,28.5,95.8,11110.0,,2400.0,1990-04-25 00:00:00,10.0,"['European Space Agency', 'NASA']",International,Cape Canaveral,Space Shuttle (STS 31),1990-037B,20580,Exploration of space.,"['12', 'www.satellitedebris.net 12']",http://sci.esa.int/science-e/www/area/index.cfm?fareaid=31  http://nssdc.gsfc.nasa.gov/database/MasterCatalog?sc=1990-037B http://hubble.nasa.gov/ http://library.thinkquest.org/21418/hst/hst.htm
1181,INMARSAT 3 F5 ,INMARSAT 3 F5,NR,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,[],GEO,,25.07,35769.0,35803.0,0.0004032640667995,0.04,1436.07,2000.0,895.0,2800.0,1998-02-04 00:00:00,13.0,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44L,1998-006B,25153,"Broadcasting, business services, mobile communications; demand assigned L-band transponders; back-up and leased-capacity.","['12_08', 'JM']",www.inmarsat.com  http://www.lib.cas.cz/www/space.40/1998/006B.HTM
1182,INMARSAT 4 F1,INMARSAT 4 F1,United Kingdom,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,[],GEO,,63.96,35772.0,35799.0,0.0003202429101777,2.3,1436.08,5959.0,,13000.0,2005-03-11 00:00:00,15.0,EADS Astrium,"['France', 'Germany', 'UK']",Cape Canaveral,Atlas 5,2005-009A,28628,Nearly the size of a double-decker bus; more than 600 channels.,"['12_08', 'JM']",http://about.inmarsat.com/satellites.aspx?top_level_id=3&language=EN&textonly=False#i4  http://www.ilslaunch.com/launches/cbin/Mission_Overview/atlas/INMARSAT_4F1_MO.pdf http://www.lib.cas.cz/www/space.40/2005/009A.HTM http://www.space.eads.net/web1/press/press_release.asp?id_tree=438&id_tree_nav=394&tree_name=EADS_SPACE_WEB_PAGES&langue=en http://nssdc.gsfc.nasa.gov/spacewarn/spx617.html
1183,INMARSAT 4 F2,INMARSAT 4 F2,United Kingdom,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,[],GEO,,52.76,35773.0,35800.0,0.0003202353136526,2.33,1436.11,5458.0,,13000.0,2005-11-08 00:00:00,15.0,EADS Astrium,"['France', 'Germany', 'UK']",Sea Launch Odyssey,Zenit 3SL,2005-044A,28899,Nearly the size of a double-decker bus; more than 600 channels.,"['12_08', 'JM']",http://news.bbc.co.uk/1/hi/sci/tech/4418484.stm  http://www.spacedaily.com/news/satellite-biz-05zzzzzzzh.html http://www.lib.cas.cz/www/space.40/2005/044A.HTM http://nssdc.gsfc.nasa.gov/spacearn/spx625.html
1184,INMARSAT 4 F3,INMARSAT 4 F3,United Kingdom,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,[],GEO,,97.65,35775.0,35798.0,0.0002727930449634,3.01,1436.1,5960.0,,13000.0,2008-08-18 00:00:00,15.0,EADS Astrium,"['France', 'Germany', 'UK']",Baikonur Cosmodrome,Proton M,2008-039A,33278,"200 spot-beams to relay messages from mobile phones based on land, sea, or air.","['12_08', 'JM']",http://www.globalsecurity.org/space/library/news/2008/space-080819-rianovosti02.htm  http://www.lib.cas.cz/space.40/2008/039A.HTM http://www.inmarsat.com/About/Newsroom/00024238.aspx?language=EN&textonly=False
1185,INMARSAT 4-A F4 (Alphasat I-XL),INMARSAT 4-A F4,United Kingdom,"['ESA', 'United Kingdom']","['European Space Agency (ESA)', 'INMARSAT, Ltd.']","['Commercial', 'Government']","['Communications', 'Technology Development']",[],GEO,,25.0,35786.0,35787.0,1.186056717232218,0.02,1436.09,6650.0,3370.0,12000.0,2013-07-25 00:00:00,15.0,Astrium,"['France', 'Germany', 'Spain', 'UK']",Guiana Space Center,Ariane 5 ECA,2013-038A,39215,Partnership between INMARSAT and ESA. Expands INMARSAT's communications and carries 4 technology demonstration packages.,ZARYA,http://www.esa.int/Our_Activities/Telecommunications_Integrated_Applications/Alphasat/Overview  http://www.esa.int/Our_Activities/Telecommunications_Integrated_Applications/Alphasat/Overview
1186,INMARSAT 5 F1,INMARSAT 5 F1,United Kingdom,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,[],GEO,,60.3,35784.0,35790.0,7.116255900562184,0.06,1436.13,6070.0,3750.0,13000.0,2013-12-08 00:00:00,15.0,Boeing Corp.,USA,Baikonur Cosmodrome,Proton M,2013-073A,39476,"Support for the Broadband Global Area Network (B-GAN) for internet and intranet use, video on demand, video-conferencing, fax, e-mail, telephone and high-speed LAN access.",SC - ASCR,http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2013/073A.HTM  http://www.zarya.info/Diaries/Launches/Launches.php?year=2013
1187,INMARSAT 5 F2,INMARSAT 5 F2,United Kingdom,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,[],GEO,,55.0,35784.0,35789.0,5.93028358616109,0.03,1436.0,6105.0,3360.0,13000.0,2015-02-01 00:00:00,15.0,Boeing Corp.,USA,Baikonur Cosmodrome,Proton M,2015-005A,40384,[],"['8_15', 'JM']",http://spaceflightnow.com/2015/02/02/second-satellite-launched-for-inmarsats-global-xpress-network/
1188,INMARSAT 5 F3,INMARSAT 5 F3,United Kingdom,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,[],GEO,,180.0,35780.0,35780.0,0.0,0.0,1436.1,6100.0,,15000.0,2015-08-28 00:00:00,15.0,Boeing Corp.,USA,Baikonur Cosmodrome,Proton M,2015-042A,40882,Part of Global Xpress segment.,Estimated,http://www.inmarsat.com/news/inmarsat-confirms-successful-launch-of-the-third-global-xpress-gx-satellite/   http://www.inmarsat.com/I-5-F3-the-mission
1202,INTEGRAL (INTErnational Gamma-Ray Astrophysics Laboratory),INTEGRAL,ESA,"['ESA', 'Russia']","['European Space Operations Centre (ESOC)', 'NASA', 'Russia']",Government,Space Science,[],Elliptical,Deep Highly Eccentric,0.0,6292.0,156833.0,0.8560031842606545,53.95,4032.86,4000.0,3414.0,2000.0,2002-10-17 00:00:00,2.0,Alenia Aerospazio (and 28 subcontractors),"['International', 'Italy']",Baikonur Cosmodrome,Proton,2002-048A,27540,Astronomical satellite for observing the gamma-ray sky.,WT,http://nssdc.gsfc.nasa.gov/spacewarn/spx588.html  http://www.space-technology.com/projects/integral/ http://isdc.unige.ch/Outreach/Integral/integral.html#mission http://sci.esa.int/science-e/www/area/index.cfm?fareaid=21 http://perso.wanadoo.fr/eurospace/espdatabase/index.html
